EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
Inverness College UHI,"1 Inverness Campus,
Inverness,
IV25NA",,"85320,
85410,
85421,
85422",8.80,9.90,0.00,0.00,0.00,0.00,23.40,76.60,36.00,64.00,44.60,55.40,41.10,58.90,https://www.inverness.uhi.ac.uk/about-us/foi/,Lindsay Ferries (Director of Organisational Development),250 to 499,Inverness College UHI,False
ISLE OF WIGHT FUELS LIMITED,"Vincent House, 4 Grove Lane,
Epping,
Essex,
CM16 4LH",08011071,46711,15.90,2.80,55.30,92.60,16.70,100.00,66.70,33.30,75.00,25.00,75.00,25.00,100.00,0.00,,Karen Dickens (Chief Executive Officer MRH (GB) Ltd),Less than 250,ISLE OF WIGHT FUELS LIMITED,False
J & J WILSON (SHOPS) LIMITED,"Driftwood Lodge, 36a Old Hunstanton Road,
Hunstanton,
Norfolk,
PE36 6HS",03496955,47110,-1.50,0.00,0.00,0.00,28.00,72.00,28.40,71.60,29.40,70.60,50.00,50.00,35.30,64.70,,J Sandy (Director),250 to 499,J & J WILSON (SHOPS) LIMITED,False
JOHN SMEDLEY LIMITED,"Lea Mills, Lea Bridge,
Matlock,
DE4 5AG",00040000,14190,27.30,24.50,32.10,26.70,18.30,6.80,24.60,75.40,18.60,81.40,55.00,45.00,81.20,18.80,https://www.johnsmedley.com/uk/gender-pay-gap-statement,Jeremy Hope (Finance Director),250 to 499,JOHN SMEDLEY LIMITED,False
KABY ENGINEERS LIMITED,"14-16 Upper Charnwood Street,
Leicester,
United Kingdom,
LE2 0AU",01211144,25110,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,93.70,6.30,84.40,15.60,,Stephen Evans (Finance Manager),250 to 499,KABY ENGINEERS LIMITED,False
KEW (ELECTRICAL DISTRIBUTORS) LIMITED,"2, Chapel Road,
Southwick,
Brighton,
BN41 1PF",03156034,46760,7.60,-0.90,56.10,-6.00,82.10,90.50,88.00,12.00,90.40,9.60,85.50,14.50,90.50,9.50,https://www.kewelectrical.co.uk/,Carolyn John (HR Manager),250 to 499,KEW (ELECTRICAL DISTRIBUTORS) LIMITED,False
KRONOSPAN LIMITED,"Maesgwyn Farm,
Chirk,
Wrexham,
United Kingdom,
LL14 5NT",00981905,16210,9.60,0.00,28.40,36.80,97.50,96.80,85.20,14.80,95.30,4.70,86.60,13.40,93.30,6.70,,Mike McKenna (Chairman),500 to 999,KRONOSPAN LIMITED,False
LAKETHORNE HOLDINGS LIMITED,"Unit 15 Wharfside Rosemont Road,
Wembley,
Middlesex,
United Kingdom,
HA0 4PE",08635845,64209,-24.20,-14.80,0.00,0.00,0.00,0.00,23.00,77.00,23.00,77.00,23.00,77.00,23.00,77.00,http://www.lakethorne.co.uk/features/how-we-work,Manjinder Gill (HR Officer),250 to 499,LAKETHORNE HOLDINGS LIMITED,False
LANDMARC SUPPORT SERVICES LIMITED,"Capital Tower,
91 Waterloo Road,
London,
United Kingdom,
SE1 8RT",04396241,81100,6.70,12.50,21.40,86.20,4.20,8.50,66.50,33.50,88.30,11.70,85.90,14.10,86.30,13.70,http://www.landmarcsolutions.com/working-with-us/working-for-us/gender-pay-gap-report,Adam Hudson (Corporate HR Manager),1000 to 4999,LANDMARC SUPPORT SERVICES LIMITED,False
LIVERPOOL AIRPORT LIMITED,"Peel Dome Intu Trafford Centre, Traffordcity,
Manchester,
United Kingdom,
M17 8PL",02116704,51101,4.30,7.20,51.70,24.90,12.00,23.90,62.00,38.00,79.00,21.00,79.00,21.00,70.50,29.50,https://www.liverpoolairport.com/careers/gender-pay-gap-report-2018/,Carol Dutton (HR & Community Director),250 to 499,LIVERPOOL AIRPORT LIMITED,False
